% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-9.620970240000e-01, 3.932584e-01, 2.076209e-02
-9.594170880000e-01, 4.030288e-01, 2.076209e-02
-9.567371520000e-01, 4.127992e-01, 2.198339e-02
-9.540572160000e-01, 4.054714e-01, 2.076209e-02
-9.513772800000e-01, 4.018075e-01, 2.076209e-02
-9.486973440000e-01, 4.091353e-01, 2.076209e-02
-9.460174080000e-01, 4.066927e-01, 2.320469e-02
-9.433374720000e-01, 3.957010e-01, 2.198339e-02
-9.406575360000e-01, 4.127992e-01, 2.076209e-02
-9.379776000000e-01, 4.054714e-01, 2.198339e-02
-9.352976640000e-01, 4.018075e-01, 2.198339e-02
-9.326177280000e-01, 4.103566e-01, 1.831949e-02
-9.299377920000e-01, 4.103566e-01, 1.954079e-02
-9.272578560000e-01, 3.969223e-01, 2.320469e-02
-9.245779200000e-01, 3.883732e-01, 2.564729e-02
-9.218979840000e-01, 3.981436e-01, 2.198339e-02
-9.192180480000e-01, 4.005862e-01, 2.076209e-02
-9.165381120000e-01, 4.005862e-01, 1.954079e-02
-9.138581760000e-01, 4.042501e-01, 3.053249e-02
-9.111782400000e-01, 3.993649e-01, 1.954079e-02
-9.084983040000e-01, 4.018075e-01, 1.954079e-02
-9.058183680000e-01, 4.018075e-01, 2.198339e-02
-9.031384320000e-01, 4.054714e-01, 2.198339e-02
-9.004584960000e-01, 3.932584e-01, 2.198339e-02
-8.977785600000e-01, 3.993649e-01, 2.076209e-02
-8.950986240000e-01, 4.018075e-01, 2.198339e-02
-8.924186880000e-01, 3.981436e-01, 2.076209e-02
-8.897387520000e-01, 4.176844e-01, 2.564729e-02
-8.870588160000e-01, 4.005862e-01, 2.198339e-02
-8.843788800000e-01, 4.042501e-01, 2.808989e-02
-8.816989440000e-01, 4.005862e-01, 2.198339e-02
-8.790190080000e-01, 4.079140e-01, 2.198339e-02
-8.763390720000e-01, 4.042501e-01, 2.320469e-02
-8.736591360000e-01, 3.920371e-01, 1.709819e-02
-8.709792000000e-01, 4.152418e-01, 1.674402e+00
-8.682992640000e-01, 4.457743e-01, 3.328041e+00
-8.656193280000e-01, 4.469956e-01, 3.332926e+00
-8.629393920000e-01, 4.298974e-01, 3.332926e+00
-8.602594560000e-01, 4.384465e-01, 3.331705e+00
-8.575795200000e-01, 4.518808e-01, 3.331705e+00
-8.548995840000e-01, 4.433317e-01, 3.331705e+00
-8.522196480000e-01, 4.457743e-01, 3.330484e+00
-8.495397120000e-01, 4.531021e-01, 3.331705e+00
-8.468597760000e-01, 4.457743e-01, 3.332926e+00
-8.441798400000e-01, 4.506595e-01, 3.336590e+00
-8.414999040000e-01, 4.506595e-01, 3.331705e+00
-8.388199680000e-01, 4.482169e-01, 3.334148e+00
-8.361400320000e-01, 4.482169e-01, 3.330484e+00
-8.334600960000e-01, 4.311187e-01, 3.331705e+00
-8.307801600000e-01, 4.482169e-01, 3.326820e+00
-8.281002240000e-01, 4.421104e-01, 3.326820e+00
-8.254202880000e-01, 4.506595e-01, 3.332926e+00
-8.227403520000e-01, 4.482169e-01, 3.328041e+00
-8.200604160000e-01, 4.408891e-01, 3.328041e+00
-8.173804800000e-01, 4.384465e-01, 3.326820e+00
-8.147005440000e-01, 4.384465e-01, 3.329262e+00
-8.120206080000e-01, 4.592086e-01, 3.330484e+00
-8.093406720000e-01, 4.494382e-01, 3.325599e+00
-8.066607360000e-01, 4.396678e-01, 3.331705e+00
-8.039808000000e-01, 4.433317e-01, 3.336590e+00
-8.013008640000e-01, 4.555447e-01, 3.329262e+00
-7.986209280000e-01, 4.457743e-01, 3.332926e+00
-7.959409920000e-01, 4.408891e-01, 3.330484e+00
-7.932610560000e-01, 4.335613e-01, 3.330484e+00
-7.905811200000e-01, 4.518808e-01, 3.328041e+00
-7.879011840000e-01, 4.360039e-01, 3.328041e+00
-7.852212480000e-01, 4.469956e-01, 3.329262e+00
-7.825413120000e-01, 4.433317e-01, 3.331705e+00
-7.798613760000e-01, 4.360039e-01, 3.331705e+00
-7.771814400000e-01, 4.543234e-01, 3.330484e+00
-7.745015040000e-01, 4.531021e-01, 3.329262e+00
-7.718215680000e-01, 4.408891e-01, 1.676844e+00
-7.691416320000e-01, 4.091353e-01, 2.320469e-02
-7.664616960000e-01, 4.054714e-01, 2.198339e-02
-7.637817600000e-01, 4.042501e-01, 1.831949e-02
-7.611018240000e-01, 4.042501e-01, 2.198339e-02
-7.584218880000e-01, 4.176844e-01, 1.709819e-02
-7.557419520000e-01, 4.042501e-01, 2.931119e-02
-7.530620160000e-01, 4.066927e-01, 2.198339e-02
-7.503820800000e-01, 3.944797e-01, 2.320469e-02
-7.477021440000e-01, 4.042501e-01, 2.198339e-02
-7.450222080000e-01, 4.054714e-01, 2.198339e-02
-7.423422720000e-01, 3.969223e-01, 2.442599e-02
-7.396623360000e-01, 4.164631e-01, 2.442599e-02
-7.369824000000e-01, 4.066927e-01, 2.198339e-02
-7.343024640000e-01, 4.164631e-01, 2.076209e-02
-7.316225280000e-01, 4.079140e-01, 1.465559e-02
-7.289425920000e-01, 4.018075e-01, 2.198339e-02
-7.262626560000e-01, 4.164631e-01, 2.198339e-02
-7.235827200000e-01, 4.030288e-01, 1.831949e-02
-7.209027840000e-01, 3.920371e-01, 2.198339e-02
-7.182228480000e-01, 3.883732e-01, 2.076209e-02
-7.155429120000e-01, 3.883732e-01, 2.076209e-02
-7.128629760000e-01, 4.018075e-01, 2.076209e-02
-7.101830400000e-01, 4.018075e-01, 2.076209e-02
-7.075031040000e-01, 4.018075e-01, 2.931119e-02
-7.048231680000e-01, 4.079140e-01, 2.198339e-02
-7.021432320000e-01, 3.932584e-01, 2.320469e-02
-6.994632960000e-01, 4.018075e-01, 2.320469e-02
-6.967833600000e-01, 3.969223e-01, 1.831949e-02
-6.941034240000e-01, 4.127992e-01, 2.076209e-02
-6.914234880000e-01, 3.993649e-01, 1.709819e-02
-6.887435520000e-01, 4.091353e-01, 2.076209e-02
-6.860636160000e-01, 3.969223e-01, 1.343429e-02
-6.833836800000e-01, 3.908158e-01, 2.442599e-02
-6.807037440000e-01, 3.932584e-01, 2.564729e-02
-6.780238080000e-01, 3.920371e-01, 2.076209e-02
-6.753438720000e-01, 3.944797e-01, 2.198339e-02
-6.726639360000e-01, 4.103566e-01, 2.076209e-02
-6.699840000000e-01, 4.237909e-01, 1.676844e+00
-6.673040640000e-01, 4.506595e-01, 3.330484e+00
-6.646241280000e-01, 4.445530e-01, 3.326820e+00
-6.619441920000e-01, 4.567660e-01, 3.330484e+00
-6.592642560000e-01, 4.482169e-01, 3.330484e+00
-6.565843200000e-01, 4.592086e-01, 3.328041e+00
-6.539043840000e-01, 4.457743e-01, 3.329262e+00
-6.512244480000e-01, 4.531021e-01, 3.332926e+00
-6.485445120000e-01, 4.592086e-01, 3.331705e+00
-6.458645760000e-01, 4.592086e-01, 3.329262e+00
-6.431846400000e-01, 4.494382e-01, 3.330484e+00
-6.405047040000e-01, 4.469956e-01, 3.329262e+00
-6.378247680000e-01, 4.408891e-01, 3.331705e+00
-6.351448320000e-01, 4.396678e-01, 3.330484e+00
-6.324648960000e-01, 4.567660e-01, 3.330484e+00
-6.297849600000e-01, 4.567660e-01, 3.330484e+00
-6.271050240000e-01, 4.482169e-01, 3.329262e+00
-6.244250880000e-01, 4.604299e-01, 3.329262e+00
-6.217451520000e-01, 4.469956e-01, 3.331705e+00
-6.190652160000e-01, 4.457743e-01, 3.330484e+00
-6.163852800000e-01, 4.469956e-01, 3.329262e+00
-6.137053440000e-01, 4.469956e-01, 3.336590e+00
-6.110254080000e-01, 4.433317e-01, 3.329262e+00
-6.083454720000e-01, 4.494382e-01, 3.332926e+00
-6.056655360000e-01, 4.518808e-01, 3.331705e+00
-6.029856000000e-01, 4.433317e-01, 3.330484e+00
-6.003056640000e-01, 4.421104e-01, 3.330484e+00
-5.976257280000e-01, 4.592086e-01, 3.321935e+00
-5.949457920000e-01, 4.506595e-01, 3.330484e+00
-5.922658560000e-01, 4.592086e-01, 3.331705e+00
-5.895859200000e-01, 4.469956e-01, 3.328041e+00
-5.869059840000e-01, 4.457743e-01, 3.329262e+00
-5.842260480000e-01, 4.445530e-01, 3.325599e+00
-5.815461120000e-01, 4.506595e-01, 3.326820e+00
-5.788661760000e-01, 4.579873e-01, 3.328041e+00
-5.761862400000e-01, 4.567660e-01, 3.331705e+00
-5.735063040000e-01, 4.518808e-01, 3.329262e+00
-5.708263680000e-01, 4.237909e-01, 1.676844e+00
-5.681464320000e-01, 3.993649e-01, 1.831949e-02
-5.654664960000e-01, 4.005862e-01, 2.320469e-02
-5.627865600000e-01, 3.969223e-01, 2.442599e-02
-5.601066240000e-01, 4.079140e-01, 2.198339e-02
-5.574266880000e-01, 4.005862e-01, 2.198339e-02
-5.547467520000e-01, 3.993649e-01, 2.931119e-02
-5.520668160000e-01, 3.993649e-01, 2.198339e-02
-5.493868800000e-01, 4.005862e-01, 1.831949e-02
-5.467069440000e-01, 3.944797e-01, 2.320469e-02
-5.440270080000e-01, 3.908158e-01, 2.198339e-02
-5.413470720000e-01, 4.042501e-01, 2.076209e-02
-5.386671360000e-01, 4.066927e-01, 2.198339e-02
-5.359872000000e-01, 4.066927e-01, 2.320469e-02
-5.333072640000e-01, 3.932584e-01, 2.198339e-02
-5.306273280000e-01, 3.944797e-01, 2.198339e-02
-5.279473920000e-01, 3.859306e-01, 2.076209e-02
-5.252674560000e-01, 3.981436e-01, 1.465559e-02
