Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-8.709792000000e-01, 8.060577e-01, 1.831949e-02
-8.682992640000e-01, 7.901808e-01, 2.076209e-02
-8.656193280000e-01, 8.097216e-01, 1.674402e+00
-8.629393920000e-01, 8.903274e-01, 3.329262e+00
-8.602594560000e-01, 8.866635e-01, 3.328041e+00
-8.575795200000e-01, 8.805570e-01, 3.325599e+00
-8.548995840000e-01, 9.025403e-01, 3.330484e+00
-8.522196480000e-01, 8.976551e-01, 3.328041e+00
-8.495397120000e-01, 9.062042e-01, 3.329262e+00
-8.468597760000e-01, 8.683440e-01, 3.329262e+00
-8.441798400000e-01, 8.671227e-01, 3.329262e+00
-8.414999040000e-01, 9.025403e-01, 3.328041e+00
-8.388199680000e-01, 8.952125e-01, 3.330484e+00
-8.361400320000e-01, 8.842209e-01, 3.328041e+00
-8.334600960000e-01, 8.988764e-01, 3.328041e+00
-8.307801600000e-01, 9.013190e-01, 3.331705e+00
-8.281002240000e-01, 8.805570e-01, 3.328041e+00
-8.254202880000e-01, 8.622375e-01, 3.328041e+00
-8.227403520000e-01, 8.927699e-01, 3.326820e+00
-8.200604160000e-01, 8.854422e-01, 3.326820e+00
-8.173804800000e-01, 8.952125e-01, 3.330484e+00
-8.147005440000e-01, 8.927699e-01, 3.330484e+00
-8.120206080000e-01, 9.159746e-01, 3.329262e+00
-8.093406720000e-01, 8.976551e-01, 3.331705e+00
-8.066607360000e-01, 8.817783e-01, 3.331705e+00
-8.039808000000e-01, 8.952125e-01, 3.329262e+00
-8.013008640000e-01, 9.074255e-01, 3.329262e+00
-7.986209280000e-01, 9.037616e-01, 3.331705e+00
-7.959409920000e-01, 8.939912e-01, 3.332926e+00
-7.932610560000e-01, 8.939912e-01, 3.329262e+00
-7.905811200000e-01, 8.988764e-01, 3.329262e+00
-7.879011840000e-01, 8.903274e-01, 3.328041e+00
-7.852212480000e-01, 9.025403e-01, 3.331705e+00
-7.825413120000e-01, 8.756718e-01, 3.326820e+00
-7.798613760000e-01, 9.025403e-01, 3.330484e+00
