% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-8.15E-02,2.44E-02,3.33E+00
-8.12E-02,2.69E-02,3.33E+00
-8.10E-02,2.56E-02,3.33E+00
-8.07E-02,2.56E-02,3.33E+00
-8.04E-02,2.56E-02,3.33E+00
-8.01E-02,2.56E-02,3.33E+00
-7.99E-02,2.56E-02,3.33E+00
-7.96E-02,2.56E-02,3.33E+00
-7.93E-02,2.56E-02,3.33E+00
-7.90E-02,2.44E-02,3.33E+00
-7.88E-02,2.56E-02,3.33E+00
-7.85E-02,2.69E-02,3.33E+00
-7.82E-02,2.69E-02,3.33E+00
-7.79E-02,2.56E-02,3.33E+00
-7.77E-02,2.69E-02,3.33E+00
-7.74E-02,2.56E-02,3.33E+00
-7.71E-02,2.69E-02,3.32E+00
-7.68E-02,2.56E-02,3.33E+00
-7.66E-02,2.56E-02,3.33E+00
-7.63E-02,2.56E-02,3.33E+00
-7.60E-02,2.56E-02,3.33E+00
-7.57E-02,2.56E-02,3.33E+00
-7.55E-02,2.44E-02,3.33E+00
-7.52E-02,2.44E-02,3.33E+00
-7.49E-02,2.32E-02,3.33E+00
-7.46E-02,2.44E-02,3.33E+00
-7.44E-02,2.44E-02,3.33E+00
-7.41E-02,2.69E-02,3.33E+00
-7.38E-02,2.56E-02,3.33E+00
-7.35E-02,2.56E-02,3.33E+00
-7.33E-02,2.44E-02,3.33E+00
-7.30E-02,2.44E-02,3.33E+00
-7.27E-02,2.56E-02,3.33E+00
-7.24E-02,2.56E-02,3.33E+00
-7.22E-02,2.44E-02,3.33E+00
-7.19E-02,2.56E-02,3.33E+00
-7.16E-02,2.56E-02,3.33E+00
-7.13E-02,2.56E-02,3.33E+00
-7.11E-02,2.56E-02,3.33E+00
-7.08E-02,2.56E-02,3.33E+00
-7.05E-02,2.44E-02,3.33E+00
-7.02E-02,2.56E-02,3.33E+00
-7.00E-02,2.56E-02,3.33E+00
-6.97E-02,2.44E-02,3.33E+00
-6.94E-02,2.56E-02,3.33E+00
-6.91E-02,2.69E-02,3.33E+00
-6.89E-02,2.56E-02,3.33E+00
-6.86E-02,2.56E-02,3.32E+00
-6.83E-02,2.56E-02,3.33E+00
-6.80E-02,2.69E-02,3.33E+00
-6.78E-02,2.69E-02,3.33E+00
-6.75E-02,2.69E-02,3.33E+00
-6.72E-02,2.56E-02,3.33E+00
-6.69E-02,2.44E-02,3.33E+00
-6.66E-02,2.69E-02,3.33E+00
-6.64E-02,2.56E-02,3.32E+00
-6.61E-02,2.44E-02,3.33E+00
-6.58E-02,2.56E-02,3.33E+00
-6.55E-02,2.56E-02,3.33E+00
-6.53E-02,2.56E-02,3.33E+00
